"Time [ms]","L(Phase_A,Phase_B) [uH]"
20.7199999999998,-23.9034859375767
20.7599999999998,-20.5369569112474
20.7999999999998,-21.632600282109
20.8399999999998,-27.5636078152606
20.8799999999998,-38.3307386598977
20.9199999999998,-46.9281009607219
20.9599999999998,-58.2271595352191
20.9999999999998,-70.7386047018033
21.0399999999998,-84.5316272519464
21.0799999999998,-107.385178870519
21.1199999999998,-148.51375992306
21.1599999999998,-190.686784920286
21.1999999999998,-230.729102509644
21.2399999999998,-267.127513005322
21.2799999999998,-300.657851785609
21.3199999999998,-331.004636100797
21.3599999999998,-357.376387879754
21.3999999999998,-379.405454113985
21.4399999999998,-395.926113962044
21.4799999999998,-405.701254745362
21.5199999999998,-410.914204465099
21.5599999999998,-414.042192468793
21.5999999999998,-417.159678531242
21.6399999999998,-420.708898237692
21.6799999999998,-425.254889983706
21.7199999999998,-431.153643489778
21.7599999999998,-438.468581270766
21.7999999999998,-446.650172532099
21.8399999999998,-455.923018416456
21.8799999999998,-468.458988822694
21.9199999999998,-484.762673040554
21.9599999999998,-502.704345358991
21.9999999999998,-518.796465326533
22.0399999999998,-530.479418439218
22.0799999999998,-535.124440030432
22.1199999999998,-532.528782206523
22.1599999999998,-524.09088326808
22.1999999999998,-512.014797842748
22.2399999999998,-500.654272015642
22.2799999999998,-491.044024084863
22.3199999999998,-483.08426451759
22.3599999999998,-477.007231412972
22.3999999999998,-470.560168682722
22.4399999999998,-455.530935464423
22.4799999999998,-440.850271070851
22.5199999999998,-430.84047841154
22.5599999999998,-425.734614737782
22.5999999999998,-425.306482459133
22.6399999999998,-428.253049668283
22.6799999999997,-432.912813649503
22.7199999999997,-436.524838549883
22.7599999999997,-436.708435557268
22.7999999999997,-430.994254405023
22.8399999999997,-419.341531980902
22.8799999999997,-405.650075757159
22.9199999999997,-392.050184082493
22.9599999999997,-378.662978868867
22.9999999999997,-368.532178555834
23.0399999999997,-360.060558395981
23.0799999999997,-352.959018632805
23.1199999999997,-347.007599705396
23.1599999999997,-341.505551536621
23.1999999999997,-333.171418882527
23.2399999999997,-323.456655952333
23.2799999999997,-316.198501445301
23.3199999999997,-310.826841594795
